unix_ts,mains,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21,sub22,sub23,sub24
1460012400,,0,1,0,2,0,0,10,125,0,0,169,106,19,19,0,0,5,4,24,2,44,131,0,79
1460012401,,0,1,0,2,0,0,10,125,0,0,172,106,19,19,0,0,5,4,23,2,46,132,0,79
1460012402,,0,1,0,2,0,0,10,125,0,0,171,106,19,18,0,0,5,4,23,2,44,131,0,83
1460012403,,0,1,0,2,0,0,10,124,0,0,171,106,18,18,0,0,5,4,24,2,44,132,0,78
1460012404,,0,1,0,1,0,0,10,123,0,0,171,106,19,18,0,0,5,4,23,2,44,132,0,78
1460012405,,0,1,0,2,0,0,10,123,0,0,171,106,19,18,0,0,5,4,23,2,45,131,0,78
1460012406,,0,1,0,2,0,0,10,123,0,0,171,99,19,18,0,0,5,4,23,2,46,132,0,78
1460012407,,0,1,0,2,0,0,10,123,0,0,172,99,19,18,0,0,5,4,23,2,44,132,0,79
1460012408,,0,1,0,2,0,0,10,123,0,0,171,99,19,18,0,0,5,4,24,2,44,131,0,81
1460012409,,0,1,0,2,0,0,10,123,0,0,172,100,19,18,0,0,5,4,23,2,45,131,0,80
1460012410,,0,1,0,2,0,0,10,123,0,0,170,110,19,18,0,0,5,4,23,2,45,131,0,78
1460012411,,0,1,0,2,0,0,10,123,0,0,170,110,19,18,0,0,5,4,23,2,45,131,0,78
1460012412,,0,1,0,2,0,0,10,123,0,0,172,109,19,18,0,0,5,4,23,2,45,132,0,78
1460012413,754,0,1,0,2,0,0,10,124,0,0,171,99,19,19,0,0,5,4,23,2,44,132,0,80
1460012414,,0,1,0,2,0,0,10,123,0,0,170,110,19,19,0,0,5,4,24,2,45,131,0,78
1460012415,,0,1,0,2,0,0,10,123,0,0,171,110,19,18,0,0,5,4,23,2,44,131,0,78
1460012416,,0,1,0,1,0,0,10,123,0,0,170,110,19,18,0,0,5,4,23,2,44,131,0,78
1460012417,,0,1,0,2,0,0,10,123,0,0,168,110,19,19,0,0,5,4,24,2,43,131,0,80
1460012418,,0,1,0,2,0,0,10,123,0,0,169,110,19,18,0,0,5,4,23,2,46,132,0,78
1460012419,,0,1,0,2,0,0,10,122,0,0,171,110,19,18,0,0,5,4,23,2,46,132,0,78
1460012420,,0,1,0,2,0,0,10,122,0,0,171,106,19,19,0,0,5,4,23,2,46,132,0,80
1460012421,,0,1,0,2,0,0,10,122,0,0,170,106,19,18,0,0,5,4,23,2,46,132,0,78
1460012422,,0,1,0,2,0,0,10,123,0,0,171,106,19,18,0,0,5,4,23,2,44,132,0,79
1460012423,,0,1,0,2,0,0,10,122,0,0,171,106,19,19,0,0,5,4,23,2,44,132,0,78
