unix_ts,mains,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21
1505286000,,71,32,0,0,1,24,5,15,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286001,,69,32,0,0,1,24,4,15,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286002,,72,32,0,0,1,24,4,15,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286003,,72,32,0,0,1,23,4,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286004,,74,31,0,0,1,20,4,15,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286005,113,76,31,0,0,1,16,5,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286006,,79,32,0,0,0,16,5,15,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286007,,78,32,0,0,1,16,5,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286008,,78,31,0,0,0,18,4,14,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286009,,77,31,0,0,1,21,5,14,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286010,,77,31,0,0,1,21,4,15,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286011,,77,31,0,0,1,25,4,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286012,,77,32,0,0,1,24,4,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286013,113,74,32,0,0,1,24,4,15,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286014,,73,31,0,0,1,24,5,15,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286015,,71,32,0,0,1,23,5,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286016,,69,32,0,0,1,24,5,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286017,,71,31,0,0,1,22,5,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286018,,73,31,0,0,1,21,5,15,2,2,4,43,1,1,0,0,4,1,0,0,0
1505286019,,77,32,0,0,1,17,5,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286020,113,78,31,0,0,1,17,5,15,2,3,4,41,1,1,0,0,5,1,0,0,0
1505286021,,79,32,0,0,1,16,5,15,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286022,,78,31,0,0,1,16,4,15,2,3,4,41,1,1,0,0,4,1,0,0,0
1505286023,,78,31,0,0,1,21,4,15,2,2,4,40,1,1,0,0,4,1,0,0,0
1505286024,,73,31,0,0,1,23,5,15,2,2,4,36,1,1,0,0,4,1,0,0,0
1505286025,,71,32,0,0,1,23,4,15,2,2,4,36,1,1,0,0,4,1,0,0,0
1505286026,,71,31,0,0,1,24,4,14,2,2,4,36,1,1,0,0,4,1,0,0,0
1505286027,,71,32,0,0,1,24,4,15,2,2,4,36,1,1,0,0,4,1,0,0,0
1505286028,,66,32,0,0,1,24,4,15,2,2,4,37,1,1,0,0,4,1,0,0,0
1505286029,108,66,32,0,0,1,24,4,15,2,2,4,36,1,1,0,0,4,1,0,0,0
1505286030,,65,31,0,0,1,23,4,15,2,2,4,39,1,1,0,0,4,1,0,0,0
1505286031,,65,32,0,0,1,22,4,15,2,2,4,36,1,1,0,0,4,1,0,0,0
1505286032,,68,32,0,0,1,21,4,15,2,2,4,36,1,1,0,0,4,1,0,0,0
1505286033,,70,32,0,0,1,18,4,15,2,2,4,36,1,1,0,0,4,1,0,0,0
1505286034,,85,31,0,0,1,17,4,15,2,2,4,47,1,1,0,0,4,1,0,0,0
1505286035,,84,31,0,0,1,15,4,15,2,2,4,46,1,1,0,0,4,1,0,0,0
1505286036,,84,32,0,0,1,16,4,15,2,2,4,46,1,1,0,0,4,1,0,0,0
1505286037,119,82,32,0,0,1,19,4,15,2,2,4,46,1,1,0,0,4,1,0,0,0
1505286038,,81,31,0,0,1,22,4,14,2,2,4,44,1,1,0,0,4,1,0,0,0
1505286039,,81,31,0,0,1,22,4,14,2,2,4,44,1,1,0,0,4,1,0,0,0
1505286040,,80,32,0,0,1,23,4,15,2,2,4,44,1,1,0,0,4,1,0,0,0
1505286041,,77,32,0,0,1,24,4,15,2,2,4,44,1,1,0,0,4,1,0,0,0
1505286042,,77,31,0,0,1,24,4,15,2,2,4,43,1,1,0,0,4,1,0,0,0
1505286043,,73,32,0,0,1,24,4,15,2,2,4,42,1,1,0,0,4,1,0,0,0
1505286044,,72,31,0,0,1,24,4,14,2,2,4,42,1,1,0,0,4,1,0,0,0
1505286045,114,70,32,0,0,1,24,4,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286046,,72,32,0,0,1,22,4,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286047,,74,31,0,0,1,20,4,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286048,,77,31,0,0,1,18,4,15,2,2,4,41,1,1,0,0,4,1,0,0,0
1505286049,,80,32,0,0,1,15,4,15,2,2,4,40,1,1,0,0,4,1,0,0,0
